in_000,in_001,in_010,in_011,in_100,in_101,in_110,in_111,circuit_complexity,support,image_size,weight_bias,footprint
0,1,1,0,1,1,1,0,4,3,2,2,9
1,1,1,0,1,1,1,0,1,2,2,4,8
0,0,0,1,1,1,1,0,4,3,2,0,9
1,0,0,1,1,1,1,0,6,3,2,2,9
0,1,0,1,1,1,1,0,4,3,2,2,9
1,1,0,1,1,1,1,0,4,3,2,4,9
0,0,1,1,1,1,1,0,4,3,2,2,9
1,0,1,1,1,1,1,0,4,3,2,4,9
0,1,1,1,1,1,1,0,5,3,2,4,9
1,1,1,1,1,1,1,0,2,3,2,6,9
0,0,0,0,0,0,0,1,2,3,2,-6,9
1,0,0,0,0,0,0,1,5,3,2,-4,9
0,1,0,0,0,0,0,1,4,3,2,-4,9
1,1,0,0,0,0,0,1,4,3,2,-2,9
0,0,1,0,0,0,0,1,4,3,2,-4,9
1,0,1,0,0,0,0,1,4,3,2,-2,9
0,1,1,0,0,0,0,1,6,3,2,-2,9
1,1,1,0,0,0,0,1,4,3,2,0,9
0,0,0,1,0,0,0,1,1,2,2,-4,8
1,0,0,1,0,0,0,1,4,3,2,-2,9
0,1,0,1,0,0,0,1,2,3,2,-2,9
1,1,0,1,0,0,0,1,3,3,2,0,9
0,0,1,1,0,0,0,1,2,3,2,-2,9
1,0,1,1,0,0,0,1,3,3,2,0,9
0,1,1,1,0,0,0,1,4,3,2,0,9
1,1,1,1,0,0,0,1,2,3,2,2,9
0,0,0,0,1,0,0,1,4,3,2,-4,9
1,0,0,0,1,0,0,1,4,3,2,-2,9
0,1,0,0,1,0,0,1,6,3,2,-2,9
1,1,0,0,1,0,0,1,4,3,2,0,9
0,0,1,0,1,0,0,1,6,3,2,-2,9
1,0,1,0,1,0,0,1,4,3,2,0,9
0,1,1,0,1,0,0,1,6,3,2,0,9
1,1,1,0,1,0,0,1,6,3,2,2,9
0,0,0,1,1,0,0,1,4,3,2,-2,9
1,0,0,1,1,0,0,1,3,2,2,0,8
0,1,0,1,1,0,0,1,4,3,2,0,9
1,1,0,1,1,0,0,1,4,3,2,2,9
0,0,1,1,1,0,0,1,4,3,2,0,9
1,0,1,1,1,0,0,1,4,3,2,2,9
0,1,1,1,1,0,0,1,6,3,2,2,9
1,1,1,1,1,0,0,1,4,3,2,4,9
0,0,0,0,0,1,0,1,1,2,2,-4,8
1,0,0,0,0,1,0,1,4,3,2,-2,9
0,1,0,0,0,1,0,1,2,3,2,-2,9
1,1,0,0,0,1,0,1,3,3,2,0,9
0,0,1,0,0,1,0,1,4,3,2,-2,9
1,0,1,0,0,1,0,1,3,2,2,0,8
0,1,1,0,0,1,0,1,4,3,2,0,9
1,1,1,0,0,1,0,1,4,3,2,2,9
0,0,0,1,0,1,0,1,2,3,2,-2,9
1,0,0,1,0,1,0,1,4,3,2,0,9
0,1,0,1,0,1,0,1,0,1,2,0,7
1,1,0,1,0,1,0,1,2,3,2,2,9
0,0,1,1,0,1,0,1,3,3,2,0,9
1,0,1,1,0,1,0,1,4,3,2,2,9
0,1,1,1,0,1,0,1,2,3,2,2,9
1,1,1,1,0,1,0,1,1,2,2,4,8
0,0,0,0,1,1,0,1,2,3,2,-2,9
1,0,0,0,1,1,0,1,3,3,2,0,9
0,1,0,0,1,1,0,1,4,3,2,0,9
1,1,0,0,1,1,0,1,2,3,2,2,9
0,0,1,0,1,1,0,1,4,3,2,0,9
1,0,1,0,1,1,0,1,4,3,2,2,9
0,1,1,0,1,1,0,1,6,3,2,2,9
1,1,1,0,1,1,0,1,4,3,2,4,9
0,0,0,1,1,1,0,1,3,3,2,0,9
1,0,0,1,1,1,0,1,4,3,2,2,9
0,1,0,1,1,1,0,1,2,3,2,2,9
1,1,0,1,1,1,0,1,1,2,2,4,8
0,0,1,1,1,1,0,1,4,3,2,2,9
1,0,1,1,1,1,0,1,5,3,2,4,9
0,1,1,1,1,1,0,1,4,3,2,4,9
1,1,1,1,1,1,0,1,2,3,2,6,9
0,0,0,0,0,0,1,1,1,2,2,-4,8
1,0,0,0,0,0,1,1,4,3,2,-2,9
0,1,0,0,0,0,1,1,4,3,2,-2,9
1,1,0,0,0,0,1,1,3,2,2,0,8
0,0,1,0,0,0,1,1,2,3,2,-2,9
1,0,1,0,0,0,1,1,3,3,2,0,9
0,1,1,0,0,0,1,1,4,3,2,0,9
1,1,1,0,0,0,1,1,4,3,2,2,9
0,0,0,1,0,0,1,1,2,3,2,-2,9
1,0,0,1,0,0,1,1,4,3,2,0,9
0,1,0,1,0,0,1,1,3,3,2,0,9
1,1,0,1,0,0,1,1,4,3,2,2,9
0,0,1,1,0,0,1,1,0,1,2,0,7
1,0,1,1,0,0,1,1,2,3,2,2,9
0,1,1,1,0,0,1,1,2,3,2,2,9
1,1,1,1,0,0,1,1,1,2,2,4,8
0,0,0,0,1,0,1,1,2,3,2,-2,9
1,0,0,0,1,0,1,1,3,3,2,0,9
0,1,0,0,1,0,1,1,4,3,2,0,9
1,1,0,0,1,0,1,1,4,3,2,2,9
0,0,1,0,1,0,1,1,4,3,2,0,9
1,0,1,0,1,0,1,1,2,3,2,2,9
0,1,1,0,1,0,1,1,6,3,2,2,9
1,1,1,0,1,0,1,1,4,3,2,4,9
0,0,0,1,1,0,1,1,3,3,2,0,9
1,0,0,1,1,0,1,1,4,3,2,2,9
0,1,0,1,1,0,1,1,4,3,2,2,9
1,1,0,1,1,0,1,1,5,3,2,4,9
0,0,1,1,1,0,1,1,2,3,2,2,9
1,0,1,1,1,0,1,1,1,2,2,4,8
0,1,1,1,1,0,1,1,4,3,2,4,9
1,1,1,1,1,0,1,1,2,3,2,6,9
0,0,0,0,0,1,1,1,2,3,2,-2,9
1,0,0,0,0,1,1,1,4,3,2,0,9
0,1,0,0,0,1,1,1,3,3,2,0,9
1,1,0,0,0,1,1,1,4,3,2,2,9
0,0,1,0,0,1,1,1,3,3,2,0,9
1,0,1,0,0,1,1,1,4,3,2,2,9
0,1,1,0,0,1,1,1,4,3,2,2,9
1,1,1,0,0,1,1,1,5,3,2,4,9
0,0,0,1,0,1,1,1,4,3,2,0,9
1,0,0,1,0,1,1,1,6,3,2,2,9
0,1,0,1,0,1,1,1,2,3,2,2,9
1,1,0,1,0,1,1,1,4,3,2,4,9
0,0,1,1,0,1,1,1,2,3,2,2,9
1,0,1,1,0,1,1,1,4,3,2,4,9
0,1,1,1,0,1,1,1,1,2,2,4,8
1,1,1,1,0,1,1,1,2,3,2,6,9
0,0,0,0,1,1,1,1,0,1,2,0,7
1,0,0,0,1,1,1,1,2,3,2,2,9
0,1,0,0,1,1,1,1,2,3,2,2,9
1,1,0,0,1,1,1,1,1,2,2,4,8
0,0,1,0,1,1,1,1,2,3,2,2,9
1,0,1,0,1,1,1,1,1,2,2,4,8
0,1,1,0,1,1,1,1,4,3,2,4,9
1,1,1,0,1,1,1,1,2,3,2,6,9
0,0,0,1,1,1,1,1,2,3,2,2,9
1,0,0,1,1,1,1,1,4,3,2,4,9
0,1,0,1,1,1,1,1,1,2,2,4,8
1,1,0,1,1,1,1,1,2,3,2,6,9
0,0,1,1,1,1,1,1,1,2,2,4,8
1,0,1,1,1,1,1,1,2,3,2,6,9
0,1,1,1,1,1,1,1,2,3,2,6,9
1,1,1,1,1,1,1,1,0,0,1,8,3
